EXIT VALUATION — TIERED EBITDA MULTIPLES (INDUSTRY BEST PRACTICE),,,,,,,
Multiple scales with EBITDA size | Sub-scale 4-6x | Mid-Market 8-10x | Platform $7M+ = 13-17x,,,,,,,
Line Item,Y1 2026,Y2 2027,Y3 2028,Y4 2029,Y5 2030,5-Yr Total,Notes
EBITDA & TIERED EXIT VALUE BY YEAR,,,,,,,
    Total Revenue," $1,239,914 "," $3,663,052 "," $7,233,870 "," $11,238,233 "," $16,077,571 "," $22,608,085 ",
    Total All-In Costs," $776,388 "," $2,148,868 "," $4,129,516 "," $6,321,928 "," $9,018,229 "," $14,819,879 ",
EBITDA," $463,526 "," $1,514,184 "," $3,104,354 "," $4,916,305 "," $7,059,342 "," $7,788,206 ",
  EBITDA Margin %,37.4%,41.3%,42.9%,43.8%,43.9%,34.5%,
    Exit Tier Applied,4,8,10,10,13,0,Y1 2026: Sub-Scale (<$500K EBITDA) | Y2 2027: Sub-Scale (<$500K EBITDA) | Y3 2028: Mid-Market ($1M-$3M EBITDA) | Y4 2029: Mid-Market ($1M-$3M EBITDA) | Y5 2030: Strong Mid-Market ($3M-$7M EBITDA)
    Exit Multiple — Low,5,9,12,12,15,34,
    Exit Multiple — Mid (Base Case),6,10,13,13,17,40,
    Exit Multiple — High,"1,854,105","12,113,471","31,043,540","49,163,049","91,771,440",45,
    Exit Value — Low," $2,317,631 "," $13,627,655 "," $35,700,071 "," $56,537,506 "," $105,890,123 "," $67,381,015 ",
EXIT VALUE — BASE (MIDPOINT)," $2,781,157 "," $15,141,839 "," $40,356,602 "," $63,911,963 "," $120,008,806 "," $76,845,201 ",Pre-tax gross proceeds — point-in-time if sold in that year
    Exit Value — High," $347,645 "," $1,483,283 "," $3,811,548 "," $7,498,777 "," $12,793,283 "," $86,309,387 ",
    Cumulative Net Income to Date," $2,665,276 "," $15,110,938 "," $39,511,619 "," $64,036,283 "," $118,683,406 "," $5,841,155 ",
TOTAL WEALTH CREATED — Base (Exit + Retained Cash)," $777,654 "," $4,726,974 "," $13,397,221 "," $22,606,535 "," $40,128,377 "," $82,686,356 ",
EXIT TIER REFERENCE TABLE,,,,,,,
      Sub-Scale (<$500K EBITDA),4,6,6,0,0,15,EBITDA <$0.5M ? 4x / 5x / 6x (Low / Mid / High)
      Emerging ($500K-$1M EBITDA),6,7,8,0,0,21,EBITDA <$1.0M ? 6x / 7x / 8x (Low / Mid / High)
      Mid-Market ($1M-$3M EBITDA),8,8,10,0,0,27,EBITDA <$3.0M ? 8x / 9x / 10x (Low / Mid / High)
      Strong Mid-Market ($3M-$7M EBITDA),10,9,13,0,0,35,EBITDA <$7.0M ? 10x / 11.5x / 13x (Low / Mid / High)
      Platform-Level ($7M+ EBITDA),13,12,17,0,0,45,EBITDA $7M+ ? 13x / 15x / 17x (Low / Mid / High)
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
