JV PARTNER COMPENSATION & EXIT ILLUSTRATION,,,,,,,
No investment required. Refer your book. Earn 20% commission every year. Get paid on the exit.,,,,,,,
Line Item,Y1 2026,Y2 2027,Y3 2028,Y4 2029,Y5 2030,5-Yr Total,Notes
HOW IT WORKS — JV PARTNER ECONOMICS,,,,,,,
    Active JV Partners (Full Year),1,4,6,6,6,23,Your book = 1 equal share of the JV network
    Avg Active Clients per Partner,8,12,20,32,45,117,
    Avg Gross Revenue — Your Book (100%)," $302,400 "," $391,277 "," $611,803 "," $995,066 "," $1,445,871 "," $2,145,000 ",Total commission value of your referred clients
ANNUAL COMMISSION INCOME (20% PRODUCER RATE — 1099),,,,,,,
Annual Commission — Pre-Tax (20%)," $60,480 "," $78,255 "," $122,361 "," $199,013 "," $289,174 "," $429,000 ",Straight producer commission — paid as 1099
    Est. After-Tax (~32% effective rate)," $41,126 "," $53,214 "," $83,205 "," $135,329 "," $196,638 "," $291,720 ",Estimate only — consult your tax advisor
Cumulative Commissions Earned — Pre-Tax," $60,480 "," $138,735 "," $261,096 "," $460,109 "," $749,283 "," $959,400 ",Running total of income pocketed to date
    Cumulative Commissions — Est. After-Tax," $41,126 "," $94,340 "," $177,545 "," $312,874 "," $509,513 "," $652,392 ",
EXIT PAYOUT — YOUR SLICE OF THE BOOK SALE (POINT-IN-TIME),,,,,,,
    Your Book as % of Total Brokerage Revenue,24.4%,10.7%,8.5%,8.9%,9.0%,12.2%,Proportional ownership — based on your book's share of total revenue
    Total Brokerage Exit Value — Low," $1,854,105 "," $12,113,471 "," $31,043,540 "," $49,163,049 "," $91,771,440 "," $67,381,015 ",
    Total Brokerage Exit Value — Base," $2,317,631 "," $13,627,655 "," $35,700,071 "," $56,537,506 "," $105,890,123 "," $76,845,201 ",
    Total Brokerage Exit Value — High," $2,781,157 "," $15,141,839 "," $40,356,602 "," $63,911,963 "," $120,008,806 "," $86,309,387 ",
    YOUR EXIT PAYOUT — Low (if sold this year)," $452,194 "," $1,293,928 "," $2,625,502 "," $4,353,038 "," $8,253,091 "," $6,106,049 ",Point-in-time — what you receive if Aaron sells in that year
YOUR EXIT PAYOUT — Base (if sold this year)," $565,242 "," $1,455,669 "," $3,019,328 "," $5,005,994 "," $9,522,797 "," $6,975,105 ",Pre-tax. Your % of book x exit value. One-time event.
    YOUR EXIT PAYOUT — High (if sold this year)," $678,290 "," $1,617,410 "," $3,413,153 "," $5,658,949 "," $10,792,503 "," $7,844,161 ",
"    Est. After-Tax Exit Payout (Base, ~32%)"," $384,365 "," $989,855 "," $2,053,143 "," $3,404,076 "," $6,475,502 "," $4,743,471 ",Estimate only — consult your tax advisor
TOTAL WEALTH CREATED — IF AARON SELLS IN THAT YEAR,,,,,,,
    Cumulative Commissions Earned to Date (Pre-Tax)," $60,480 "," $138,735 "," $261,096 "," $460,109 "," $749,283 "," $959,400 ",All commissions earned from Y1 through that year
    Exit Payout in That Year — Low," $452,194 "," $1,293,928 "," $2,625,502 "," $4,353,038 "," $8,253,091 "," $6,106,049 ",
TOTAL WEALTH — Low (Commissions + Exit)," $512,674 "," $1,432,663 "," $2,886,598 "," $4,813,147 "," $9,002,374 "," $7,065,449 ",
TOTAL WEALTH — Base (Commissions + Exit)," $625,722 "," $1,594,404 "," $3,280,424 "," $5,466,103 "," $10,272,081 "," $7,275,967 ",Cumulative commissions + one-time exit check
TOTAL WEALTH — High (Commissions + Exit)," $738,770 "," $1,756,145 "," $3,674,249 "," $6,119,058 "," $11,541,787 "," $8,069,453 ",
WHAT THIS MEANS IN PLAIN ENGLISH,,,,,,,
"Y1 2026: You have earned $60,480 in commissions (pre-tax). If Aaron sells this year, your exit check is ~$565,242 (base case). Total in your pocket: ~$625,722 pre-tax.",,,,,,,
"Y5 2030: You have earned $749,283 in cumulative commissions (pre-tax). If Aaron sells in Year 5, your exit check is ~$9,522,797 (base case). Total wealth created: ~$10,272,081 pre-tax.",,,,,,,
"Y3 2028: You have earned $149,400 in commissions (pre-tax). If Aaron sells this year, your exit check is ~$918,736 (base case). Total in your pocket: ~$1,068,136 pre-tax.",,,,,,,
"Y4 2029: You have earned $265,800 in commissions (pre-tax). If Aaron sells this year, your exit check is ~$1,786,029 (base case). Total in your pocket: ~$2,051,829 pre-tax.",,,,,,,
"Y5 2030: You have earned $429,000 in commissions (pre-tax). If Aaron sells this year, your exit check is ~$3,297,675 (base case). Total in your pocket: ~$3,726,675 pre-tax.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
